"","Gam_P_Vector_All","Gam_Z_Vector_All","Gam_P_FDR_Vector_All","Gam_Z_FDR_Sig_Vector_All","Gam_P_Bonf_Vector_All","Gam_Z_Bonf_Sig_Vector_All"
"1",0,0,0,0,0,0
"2",0,0,0,0,0,0
"3",0.00464620600877895,2.83059122061856,0.0107195702572765,2.83059122061856,1,0
"4",0,0,0,0,0,0
"5",0.0237691246085853,2.2608406786945,0.0448504699821519,2.2608406786945,1,0
"6",0,0,0,0,0,0
"7",0,0,0,0,0,0
"8",0.0704825458750915,-1.80879700431132,0.115052669617121,0,1,0
"9",0.15282695380835,-1.42961706914433,0.223482284912588,0,1,0
"10",0,0,0,0,0,0
"11",0.0474504280802217,1.98225750013011,0.082104425076232,0,1,0
"12",0,0,0,0,0,0
"13",0,0,0,0,0,0
"14",0,0,0,0,0,0
"15",0,0,0,0,0,0
"16",0,0,0,0,0,0
"17",0,0,0,0,0,0
"18",0,0,0,0,0,0
"19",0,0,0,0,0,0
"20",0,0,0,0,0,0
"21",0,0,0,0,0,0
"22",0,0,0,0,0,0
"23",0,0,0,0,0,0
"24",0,0,0,0,0,0
"25",0,0,0,0,0,0
"26",0,0,0,0,0,0
"27",0,0,0,0,0,0
"28",0,0,0,0,0,0
"29",0,0,0,0,0,0
"30",0,0,0,0,0,0
"31",0,0,0,0,0,0
"32",0,0,0,0,0,0
"33",0,0,0,0,0,0
"34",0,0,0,0,0,0
"35",0,0,0,0,0,0
"36",0,0,0,0,0,0
"37",0,0,0,0,0,0
"38",0,0,0,0,0,0
"39",0,0,0,0,0,0
"40",0,0,0,0,0,0
"41",0,0,0,0,0,0
"42",0,0,0,0,0,0
"43",0,0,0,0,0,0
"44",0,0,0,0,0,0
"45",0,0,0,0,0,0
"46",0,0,0,0,0,0
"47",0,0,0,0,0,0
"48",0,0,0,0,0,0
"49",0,0,0,0,0,0
"50",0,0,0,0,0,0
"51",0,0,0,0,0,0
"52",0,0,0,0,0,0
"53",0,0,0,0,0,0
"54",0,0,0,0,0,0
"55",0,0,0,0,0,0
"56",0,0,0,0,0,0
"57",0,0,0,0,0,0
"58",0,0,0,0,0,0
"59",0,0,0,0,0,0
"60",0,0,0,0,0,0
"61",0,0,0,0,0,0
"62",0,0,0,0,0,0
"63",0,0,0,0,0,0
"64",0,0,0,0,0,0
"65",0,0,0,0,0,0
"66",0,0,0,0,0,0
"67",0,0,0,0,0,0
"68",0,0,0,0,0,0
"69",0,0,0,0,0,0
"70",5.56987371946405e-06,-4.5420919441801,2.85256433153665e-05,-4.5420919441801,0.101494238916074,0
"71",0.000256999192357778,-3.65518239882645,0.000829150014720861,-3.65518239882645,1,0
"72",1.58767563546319e-05,-4.31615910328436,7.18951924190117e-05,-4.31615910328436,0.289306254294103,0
"73",8.74838823785757e-10,-6.13071703574566,1.4810573923767e-08,-6.13071703574566,1.59413130470241e-05,-6.13071703574566
"74",2.03009824406968e-07,-5.19656025050757,1.58834049821545e-06,-5.19656025050757,0.00369924502034378,-5.19656025050757
"75",0.000348494384700561,-3.57629799035684,0.00108700182780103,-3.57629799035684,1,0
"76",0.00248931230503215,-3.02463757226002,0.00620099095315049,-3.02463757226002,1,0
"77",0,0,0,0,0,0
"78",0,0,0,0,0,0
"79",0,0,0,0,0,0
"80",0,0,0,0,0,0
"81",0,0,0,0,0,0
"82",0.000258419976562897,-3.65376781104783,0.000833143809789297,-3.65376781104783,1,0
"83",3.13596325666914e-06,-4.66170772823975,1.72170902268831e-05,-4.66170772823975,0.0571435224630251,0
"84",0.0427029777313968,-2.02660350595834,0.0748925563254584,0,1,0
"85",0.24935390405732,-1.15192010907526,0.336173930137058,0,1,0
"86",0.955297731260139,0.0560553277234192,0.966328148052751,0,1,0
"87",0.273294878014057,1.09550632051594,0.363163669127752,0,1,0
"88",0.225792912667466,1.21126746771627,0.309632635056183,0,1,0
"89",0.544759567761903,0.605631368075729,0.632558206639271,0,1,0
"90",0.40228200215785,0.8375526380294,0.497987951312524,0,1,0
"91",0.349550374664473,-0.935461773382648,0.443991839337517,0,1,0
"92",0.00799529844223339,-2.65226828735151,0.0173688994056243,-2.65226828735151,1,0
"93",0.0120852483466172,-2.50964530505778,0.0250019749514145,-2.50964530505778,1,0
"94",0.0112114232648217,-2.53603904631773,0.0233693153433517,-2.53603904631773,1,0
"95",0,0,0,0,0,0
"96",0,0,0,0,0,0
"97",0,0,0,0,0,0
"98",0,0,0,0,0,0
"99",0,0,0,0,0,0
"100",0,0,0,0,0,0
"101",0,0,0,0,0,0
"102",0,0,0,0,0,0
"103",0,0,0,0,0,0
"104",0,0,0,0,0,0
"105",0,0,0,0,0,0
"106",0,0,0,0,0,0
"107",0,0,0,0,0,0
"108",0,0,0,0,0,0
"109",0,0,0,0,0,0
"110",0,0,0,0,0,0
"111",0,0,0,0,0,0
"112",0,0,0,0,0,0
"113",0,0,0,0,0,0
"114",0,0,0,0,0,0
