"","Gam_P_Vector_All","Gam_Z_Vector_All","Gam_P_FDR_Vector_All","Gam_Z_FDR_Sig_Vector_All","Gam_P_Bonf_Vector_All","Gam_Z_Bonf_Sig_Vector_All"
"1",0,0,0,0,0,0
"2",0,0,0,0,0,0
"3",0.372618260589114,0.891579689426671,0.46214820261882,0,1,0
"4",0.252147513383634,-1.14514882406412,0.335159615266632,0,1,0
"5",0,0,0,0,0,0
"6",0.0127717623178626,2.49007087579859,0.0268529533064087,2.49007087579859,1,0
"7",0.769432269634423,0.293117593225117,0.820311273730058,0,1,0
"8",0,0,0,0,0,0
"9",0.0123503503674389,2.50197254011272,0.0260728521234855,2.50197254011272,1,0
"10",0,0,0,0,0,0
"11",0.517083348438917,-0.647847872930346,0.603385834969862,0,1,0
"12",0,0,0,0,0,0
"13",0,0,0,0,0,0
"14",0,0,0,0,0,0
"15",0,0,0,0,0,0
"16",0,0,0,0,0,0
"17",1.73561381048833e-14,7.66883807066099,6.44502105272107e-13,7.66883807066099,4.58080553002185e-10,7.66883807066099
"18",6.83262650412196e-12,6.86111262800794,1.45079252874731e-10,6.86111262800794,1.80333511323291e-07,6.86111262800794
"19",2.67496824683111e-09,5.95039457677113,3.11426717858904e-08,5.95039457677113,7.06004369386135e-05,5.95039457677113
"20",1.15103684488893e-08,5.70682401131426,1.16040165955514e-07,5.70682401131426,0.000303793154471536,5.70682401131426
"21",0,0,0,0,0,0
"22",0,0,0,0,0,0
"23",0,0,0,0,0,0
"24",0,0,0,0,0,0
"25",0,0,0,0,0,0
"26",0,0,0,0,0,0
"27",0,0,0,0,0,0
"28",0,0,0,0,0,0
"29",0,0,0,0,0,0
"30",0,0,0,0,0,0
"31",0,0,0,0,0,0
"32",0,0,0,0,0,0
"33",0,0,0,0,0,0
"34",0,0,0,0,0,0
"35",0,0,0,0,0,0
"36",0,0,0,0,0,0
"37",0,0,0,0,0,0
"38",0,0,0,0,0,0
"39",0,0,0,0,0,0
"40",0,0,0,0,0,0
"41",0,0,0,0,0,0
"42",0,0,0,0,0,0
"43",0,0,0,0,0,0
"44",0,0,0,0,0,0
"45",0,0,0,0,0,0
"46",0,0,0,0,0,0
"47",0,0,0,0,0,0
"48",0,0,0,0,0,0
"49",0,0,0,0,0,0
"50",0,0,0,0,0,0
"51",0,0,0,0,0,0
"52",0,0,0,0,0,0
"53",0,0,0,0,0,0
"54",0,0,0,0,0,0
"55",0,0,0,0,0,0
"56",0,0,0,0,0,0
"57",0,0,0,0,0,0
"58",0,0,0,0,0,0
"59",0,0,0,0,0,0
"60",0,0,0,0,0,0
"61",0,0,0,0,0,0
"62",0,0,0,0,0,0
"63",0,0,0,0,0,0
"64",0,0,0,0,0,0
"65",0,0,0,0,0,0
"66",0,0,0,0,0,0
"67",0,0,0,0,0,0
"68",0,0,0,0,0,0
"69",0,0,0,0,0,0
"70",0,0,0,0,0,0
"71",0,0,0,0,0,0
"72",0,0,0,0,0,0
"73",0,0,0,0,0,0
"74",0,0,0,0,0,0
"75",0,0,0,0,0,0
"76",0,0,0,0,0,0
"77",0,0,0,0,0,0
"78",0,0,0,0,0,0
"79",0,0,0,0,0,0
"80",0,0,0,0,0,0
"81",0,0,0,0,0,0
"82",0.253715177654949,1.14137193713952,0.336853196028324,0,1,0
"83",0.0794741019964234,-1.75374563625413,0.126656601291685,0,1,0
"84",0,0,0,0,0,0
"85",0,0,0,0,0,0
"86",0,0,0,0,0,0
"87",0,0,0,0,0,0
"88",0,0,0,0,0,0
"89",0,0,0,0,0,0
"90",0,0,0,0,0,0
"91",0,0,0,0,0,0
"92",0,0,0,0,0,0
"93",0,0,0,0,0,0
"94",0,0,0,0,0,0
"95",0,0,0,0,0,0
"96",0,0,0,0,0,0
"97",0,0,0,0,0,0
"98",0,0,0,0,0,0
"99",2.6469917489597e-13,7.31123447038844,7.69405872580323e-12,7.31123447038844,6.98620532302933e-09,7.31123447038844
"100",5.54462800059525e-16,8.09892647526467,2.9151268290779e-14,8.09892647526467,1.46339366819711e-11,8.09892647526467
"101",1.76722917441294e-11,6.72406550863427,3.38479532658061e-10,6.72406550863427,4.66424796002808e-07,6.72406550863427
"102",6.71388946125883e-11,6.52691327386327,1.12794197677278e-09,6.52691327386327,1.77199684551004e-06,6.52691327386327
"103",0,0,0,0,0,0
"104",0,0,0,0,0,0
"105",0,0,0,0,0,0
"106",0,0,0,0,0,0
"107",4.52701266366317e-12,6.91966864647353,1.00404575825262e-10,6.91966864647353,1.19481445232062e-07,6.91966864647353
"108",1.27574055696039e-14,7.70823062521667,4.88688251376712e-13,7.70823062521667,3.36706205198555e-10,7.70823062521667
"109",1.21419460592878e-10,6.43754733981368,1.91778804513934e-09,6.43754733981368,3.20462382342784e-06,6.43754733981368
"110",0,0,0,0,0,0
"111",0,0,0,0,0,0
"112",0,0,0,0,0,0
"113",0,0,0,0,0,0
