"","Gam_P_Vector_All","Gam_Z_Vector_All","Gam_P_FDR_Vector_All","Gam_Z_FDR_Sig_Vector_All","Gam_P_Bonf_Vector_All","Gam_Z_Bonf_Sig_Vector_All"
"1",0.29272794861718,1.05215607469062,0.374555560185682,0,1,0
"2",0,0,0,0,0,0
"3",0,0,0,0,0,0
"4",0,0,0,0,0,0
"5",0,0,0,0,0,0
"6",0,0,0,0,0,0
"7",0,0,0,0,0,0
"8",0.000103712510638039,-3.8817381665886,0.000298629821583008,-3.8817381665886,1,0
"9",4.98764828549265e-05,4.0562050211601,0.000152881675937084,4.0562050211601,1,0
"10",0,0,0,0,0,0
"11",2.14371208332663e-05,-4.2493714291512,7.01505320393051e-05,-4.2493714291512,0.485722283840149,0
"12",0.908705766581094,-0.114671169469362,0.929588480707681,0,1,0
"13",0.695328583181974,0.391634107067543,0.755696231664293,0,1,0
"14",0.708226142612386,-0.374239494949613,0.766844496765337,0,1,0
"15",0.0371916498736473,-2.083654015445,0.0627176482202726,0,1,0
"16",0.0520618154789426,-1.94262225877266,0.0843306130341637,0,1,0
"17",1.29094571989569e-09,-6.06851971390867,9.01950296681979e-09,-6.06851971390867,2.92502481213966e-05,-6.06851971390867
"18",2.47663178572604e-13,-7.32016666004792,3.23992627026448e-12,-7.32016666004792,5.61155230009807e-09,-7.32016666004792
"19",4.6761936385364e-14,-7.54065426463219,6.88007762739985e-13,-7.54065426463219,1.05953195461958e-09,-7.54065426463219
"20",1.7430301875979e-10,-6.3824270929843,1.39800276072896e-09,-6.3824270929843,3.94935779905933e-06,-6.3824270929843
"21",0.391070935533212,0.857676833700335,0.476955821795216,0,1,0
"22",0.108029800848599,1.60711200241968,0.159899348551578,0,1,0
"23",0.324846997013875,0.984546261738622,0.409069263510275,0,1,0
"24",0.498097218566978,0.677486679853645,0.579923271069862,0,1,0
"25",0.300458736013906,1.0354501488106,0.383149146814671,0,1,0
"26",0.987123153888413,-0.0161394339185067,0.989700270844005,0,1,0
"27",0.682624298962456,-0.408884670942378,0.74474679150093,0,1,0
"28",0.403837078913237,-0.834788008174859,0.489809995932559,0,1,0
"29",0.283171541657484,-1.07322195635826,0.364406246996948,0,1,0
"30",0.94262460696561,-0.0719714770744493,0.956299290079108,0,1,0
"31",0.430036086898868,-0.789129901754778,0.515460913979503,0,1,0
"32",0.517923391434451,-0.646549746081791,0.598577312069462,0,1,0
"33",0.904352296086401,0.120165185189795,0.926396573998613,0,1,0
"34",0.357948928726763,0.919280396592343,0.443506689292448,0,1,0
"35",0.13303398217924,1.50224447669231,0.191431726674534,0,1,0
"36",0.2128985155366,1.24563475828166,0.286673475071509,0,1,0
"37",0.701564094312915,0.383209959138682,0.761174959323593,0,1,0
"38",0.597366137041873,0.528191919794965,0.670259176608093,0,1,0
"39",0.0353060917268576,2.10483019546639,0.0599045549159158,0,1,0
"40",0.0618972147848676,1.86703131601451,0.0982876930825937,0,1,0
"41",0.410375551641494,0.823232919963782,0.496120438005174,0,1,0
"42",0.772509828796429,-0.289093498419625,0.820606080678363,0,1,0
"43",0.144550667312965,-1.45905246773418,0.205769468270829,0,1,0
"44",0.0028173561210587,-2.98699360898433,0.00616412272991,-2.98699360898433,1,0
"45",1.68988063740019e-09,-6.02511630107934,1.15225144394263e-08,-6.02511630107934,3.82893154822136e-05,-6.02511630107934
"46",7.61424385303563e-19,-8.86552791060424,2.28658355869396e-17,-8.86552791060424,1.72523537222081e-14,-8.86552791060424
"47",5.74313716938552e-29,-11.1696117313303,1.00874420142587e-26,-11.1696117313303,1.30128001983937e-24,-11.1696117313303
"48",2.34092785653919e-33,-12.034484098158,1.15305963855359e-30,-12.034484098158,5.3040743373465e-29,-12.034484098158
"49",7.80036327142274e-36,-12.4965073786198,7.36419295849569e-33,-12.4965073786198,1.76740631003897e-31,-12.4965073786198
"50",8.69414507519127e-37,-12.6697948696454,1.23119961946052e-33,-12.6697948696454,1.96991939113684e-32,-12.6697948696454
"51",1.58749949636516e-37,-12.8025033080364,3.26996032624017e-34,-12.8025033080364,3.59695635886418e-33,-12.8025033080364
"52",1.15900802508053e-34,-12.2800680017173,7.95781934311353e-32,-12.2800680017173,2.62608038322747e-30,-12.2800680017173
"53",7.9741470690572e-30,-11.3436565745738,1.64252931173362e-27,-11.3436565745738,1.80678224290698e-25,-11.3436565745738
"54",5.00281291651062e-20,-9.16395759899873,1.80499578124678e-18,-9.16395759899873,1.13353735062298e-15,-9.16395759899873
"55",2.63314078094365e-15,-7.9071661556118,4.69407583120545e-14,-7.9071661556118,5.96617038146212e-11,-7.9071661556118
