"","Gam_P_Vector_All","Gam_Z_Vector_All","Gam_P_FDR_Vector_All","Gam_Z_FDR_Sig_Vector_All","Gam_P_Bonf_Vector_All","Gam_Z_Bonf_Sig_Vector_All"
"1",0.00965429648737274,-2.58797151135434,0.0194322485749158,-2.58797151135434,1,0
"2",0,0,0,0,0,0
"3",0.0291252406986526,2.18178721347927,0.0509391575780639,0,1,0
"4",0.110916671726588,-1.59408645737568,0.161153566866021,0,1,0
"5",0,0,0,0,0,0
"6",3.33706621097361e-05,-4.1491537556077,0.000130764424946075,-4.1491537556077,0.707958596658052,0
"7",0.000455890135848339,-3.50541845244762,0.00132907918538168,-3.50541845244762,1,0
"8",0,0,0,0,0,0
"9",5.71848472533862e-11,-6.55091697413818,1.10792377578136e-09,-6.55091697413818,1.21317653448059e-06,-6.55091697413818
"10",0,0,0,0,0,0
"11",0.836054179601753,-0.206943249134432,0.87113537581037,0,1,0
"12",0.00245856539542981,-3.02839494923325,0.00582372434585564,-3.02839494923325,1,0
"13",0.0259096988002154,-2.22756257302741,0.0460710971458025,-2.22756257302741,1,0
"14",0.0156878884635127,-2.41609683839806,0.029673551511539,-2.41609683839806,1,0
"15",0.00119033015124714,-3.24118713590735,0.00307511619078276,-3.24118713590735,1,0
"16",0.0117106768917182,-2.52074474133593,0.0230102815835697,-2.52074474133593,1,0
"17",6.43758497254635e-06,-4.51148330928515,3.0601246962261e-05,-4.51148330928515,0.136573365192571,0
"18",0,0,0,0,0,0
"19",0,0,0,0,0,0
"20",0,0,0,0,0,0
"21",0.000626122717132265,-3.42003850874992,0.00175425164341799,-3.42003850874992,1,0
"22",0.000182280939793107,-3.74238640422396,0.000590846468710582,-3.74238640422396,1,0
"23",2.71316630155127e-06,-4.69141904183175,1.43540705953641e-05,-4.69141904183175,0.0575598230874102,0
"24",3.54363429761759e-06,-4.63649694522564,1.81239637473378e-05,-4.63649694522564,0.0751782016239572,0
"25",0.000574689313455221,-3.44328689435954,0.00162560450466034,-3.44328689435954,1,0
"26",0.00969208482137762,-2.58662557096203,0.0194916655119467,-2.58662557096203,1,0
"27",0.141950794370497,-1.46856507193265,0.198896687864067,0,1,0
"28",0.430616298381924,-0.788137472651551,0.506039149735363,0,1,0
"29",0.952973483972472,-0.0589731626851114,0.964751501358847,0,1,0
"30",0.181015637623132,1.3376344224096,0.244321590035294,0,1,0
"31",0.160193364757592,1.40442152537875,0.220138763656712,0,1,0
"32",0.137758691758363,1.48418935983204,0.193867372846014,0,1,0
"33",0.075872072509491,1.77515636388185,0.116327673505012,0,1,0
"34",0.0465090880850602,1.99074355141248,0.076310154967096,0,1,0
"35",0.0209181014574418,2.30945941210188,0.0381547177731603,2.30945941210188,1,0
"36",0.0473353657846724,1.98328713336513,0.0774382931155016,0,1,0
"37",0.154084912583909,1.42525012165173,0.21302778888678,0,1,0
"38",0.110621610809591,1.5954053930158,0.160786343746606,0,1,0
"39",0.0141581520911793,2.45322557978136,0.0271479751097586,2.45322557978136,1,0
"40",0.0117932627120033,2.51827075104406,0.0231468284240124,2.51827075104406,1,0
"41",0,0,0,0,0,0
"42",0,0,0,0,0,0
"43",0,0,0,0,0,0
"44",0,0,0,0,0,0
"45",0,0,0,0,0,0
"46",0,0,0,0,0,0
"47",0,0,0,0,0,0
"48",0,0,0,0,0,0
"49",0,0,0,0,0,0
"50",0,0,0,0,0,0
"51",0,0,0,0,0,0
"52",0,0,0,0,0,0
"53",0,0,0,0,0,0
"54",0,0,0,0,0,0
"55",0,0,0,0,0,0
"56",0,0,0,0,0,0
"57",0,0,0,0,0,0
"58",0,0,0,0,0,0
"59",0,0,0,0,0,0
"60",0,0,0,0,0,0
"61",0,0,0,0,0,0
"62",0,0,0,0,0,0
"63",0,0,0,0,0,0
"64",0,0,0,0,0,0
"65",0,0,0,0,0,0
"66",0,0,0,0,0,0
"67",0,0,0,0,0,0
"68",0,0,0,0,0,0
"69",0,0,0,0,0,0
"70",0,0,0,0,0,0
"71",0,0,0,0,0,0
"72",0,0,0,0,0,0
"73",0,0,0,0,0,0
"74",0,0,0,0,0,0
"75",0,0,0,0,0,0
"76",0,0,0,0,0,0
"77",0,0,0,0,0,0
"78",0,0,0,0,0,0
"79",0,0,0,0,0,0
"80",0,0,0,0,0,0
"81",0,0,0,0,0,0
"82",0.177986927253133,1.3469792140183,0.240857170038611,0,1,0
"83",0,0,0,0,0,0
"84",0,0,0,0,0,0
"85",0,0,0,0,0,0
"86",0,0,0,0,0,0
"87",0,0,0,0,0,0
"88",0,0,0,0,0,0
"89",0,0,0,0,0,0
"90",0,0,0,0,0,0
"91",0,0,0,0,0,0
"92",0,0,0,0,0,0
"93",0,0,0,0,0,0
"94",0,0,0,0,0,0
"95",0.000406371061852252,-3.5359113330744,0.00120071895225564,-3.5359113330744,1,0
"96",0.00104601971476458,-3.27784728170105,0.00274610917568749,-3.27784728170105,1,0
"97",9.00620335515504e-05,-3.91591484924321,0.000314616506141305,-3.91591484924321,1,0
"98",2.00887494291114e-06,-4.7525294536628,1.1021019372604e-05,-4.7525294536628,0.0426182819138597,-4.7525294536628
"99",6.82540325952039e-09,-5.79516502433386,7.58914728253277e-08,-5.79516502433386,0.000144800930150725,-5.79516502433386
"100",9.88219697663376e-10,-6.11130133149761,1.36136888869666e-08,-6.11130133149761,2.09650808859285e-05,-6.11130133149761
"101",0,0,0,0,0,0
"102",0,0,0,0,0,0
"103",5.53453755265579e-06,-4.54343310025509,2.67765596760758e-05,-4.54343310025509,0.117415214179592,0
"104",9.5385027979142e-07,-4.90092796689327,5.72463295285592e-06,-4.90092796689327,0.020235933685775,-4.90092796689327
"105",1.28800738143116e-08,-5.68764830020904,1.3240344326105e-07,-5.68764830020904,0.00027325076597062,-5.68764830020904
"106",7.75696050199706e-10,-6.14982271019088,1.09490297438368e-08,-6.14982271019088,1.64563917049868e-05,-6.14982271019088
"107",3.07818545696983e-14,-7.59498901547178,1.44477222277909e-12,-7.59498901547178,6.5303704469615e-10,-7.59498901547178
"108",2.06485600612026e-12,-7.03003238904723,5.74127394100147e-11,-7.03003238904723,4.38059201698412e-08,-7.03003238904723
"109",0,0,0,0,0,0
"110",3.66390843810485e-08,-5.50633028376287,3.3090599197273e-07,-5.50633028376287,0.000777298175143943,-5.50633028376287
"111",1.7765210884852e-10,-6.37951291076576,2.98936077721754e-09,-6.37951291076576,3.76888948922135e-06,-6.37951291076576
"112",5.8771634864872e-12,-6.882595750064,1.46000027360452e-10,-6.882595750064,1.24684023365826e-07,-6.882595750064
"113",3.42119142050398e-10,-6.27837990216089,5.30172213192052e-09,-6.27837990216089,7.25805759859919e-06,-6.27837990216089
"114",5.3391948919412e-14,-7.52334583333579,2.29293562009175e-12,-7.52334583333579,1.13271019632533e-09,-7.52334583333579
"115",0,0,0,0,0,0
"116",0,0,0,0,0,0
"117",1.8997137142023e-07,-5.20889226628981,1.40036228098686e-06,-5.20889226628981,0.00403024264468017,-5.20889226628981
"118",1.92318509912459e-09,-6.0041654550841,2.47875892332491e-08,-6.0041654550841,4.08003718779281e-05,-6.0041654550841
"119",2.07711617748012e-11,-6.70049717370274,4.5312785671722e-10,-6.70049717370274,4.40660197052407e-07,-6.70049717370274
"120",1.12263824880182e-12,-7.11456810381006,3.42194977705899e-11,-7.11456810381006,2.38167704483306e-08,-7.11456810381006
"121",8.77336962633909e-12,-6.82531319670811,2.10075662102465e-10,-6.82531319670811,1.86127036622784e-07,-6.82531319670811
"122",0,0,0,0,0,0
"123",0,0,0,0,0,0
"124",8.54566405692643e-05,-3.92855828435019,0.000300010364004127,-3.92855828435019,1,0
"125",1.69209702610665e-08,-5.64085307879978,1.67668558658816e-07,-5.64085307879978,0.000358978384088525,-5.64085307879978
"126",4.24672483421093e-10,-6.24467858100378,6.43530481127035e-09,-6.24467858100378,9.00942673577849e-06,-6.24467858100378
"127",3.92902225448408e-10,-6.25682167693762,5.98808959259194e-09,-6.25682167693762,8.33542071288797e-06,-6.25682167693762
"128",1.22175225734012e-10,-6.43660512818413,2.1474295061699e-09,-6.43660512818413,2.59194741394706e-06,-6.43660512818413
"129",0,0,0,0,0,0
"130",0.00211050508238392,-3.07422455763738,0.00509088860975268,-3.07422455763738,1,0
"131",2.31390832230427e-06,-4.7238766190789,1.24814556465001e-05,-4.7238766190789,0.049089565057685,-4.7238766190789
"132",1.18161758163017e-09,-6.08271842515531,1.60179022327693e-08,-6.08271842515531,2.5068016994284e-05,-6.08271842515531
"133",1.31415557017693e-09,-6.06565671468401,1.76008904174896e-08,-6.06565671468401,2.78798104213035e-05,-6.06565671468401
"134",2.04267434608017e-10,-6.35809778141283,3.38822019171938e-09,-6.35809778141283,4.33353362520908e-06,-6.35809778141283
"135",0.0128827480145946,-2.48699425293573,0.0249887157056808,-2.48699425293573,1,0
"136",1.73276556586422e-05,-4.29680620333315,7.3462472981234e-05,-4.29680620333315,0.367606214798095,0
"137",1.65617875297818e-08,-5.64454581528345,1.64670556034408e-07,-5.64454581528345,0.000351358322444321,-5.64454581528345
"138",4.76852673267157e-09,-5.85505482849548,5.50404214546395e-08,-5.85505482849548,0.000101164294633627,-5.85505482849548
"139",6.56103494352079e-10,-6.1763262259988,9.43676992046058e-09,-6.1763262259988,1.39192356326794e-05,-6.1763262259988
"140",0.0511525894245378,-1.95019745167439,0.0829158148411958,0,1,0
"141",0.000192149873112184,-3.72911968942514,0.000618676515112307,-3.72911968942514,1,0
"142",3.61486168840467e-06,-4.63237982742175,1.8426066967685e-05,-4.63237982742175,0.0766892907195051,0
"143",4.4937355427255e-08,-5.47026090648888,3.94270469557161e-07,-5.47026090648888,0.000953345995389215,-5.47026090648888
"144",1.73842336042423e-08,-5.63620112475095,1.7185764954054e-07,-5.63620112475095,0.000368806515913999,-5.63620112475095
"145",0.345124945641806,-0.944087482001745,0.422299326438512,0,1,0
"146",0.00945871417506826,-2.59501372517288,0.0190911065763555,-2.59501372517288,1,0
"147",4.36294286380505e-05,-4.08736825545633,0.000164902606192097,-4.08736825545633,0.92559832855624,0
"148",3.38228011570554e-06,-4.64612505764077,1.74078293679508e-05,-4.64612505764077,0.0717550726546931,0
"149",0.933653294531979,-0.083249323255408,0.948758686188948,0,1,0
"150",0.0196656583675896,-2.33266644987785,0.0361719214728988,-2.33266644987785,1,0
"151",0.000876485199369652,-3.32743790673511,0.00235196477417495,-3.32743790673511,1,0
"152",0.00079936865267221,-3.35301329993942,0.00217014324086145,-3.35301329993942,1,0
"153",0.907539491392801,-0.116142645338039,0.927966565929163,0,1,0
"154",0.0572279835238421,-1.90156548710852,0.0913469016972621,0,1,0
"155",0.00193219468831693,-3.10046128849995,0.00470463793327714,-3.10046128849995,1,0
"156",0.0536412748664223,-1.92972214259505,0.0863887987771312,0,1,0
"157",0.962660804057981,-0.0468148366550926,0.971637516441794,0,1,0
"158",0.180493726452515,-1.33923639872692,0.243710183725185,0,1,0
"159",0.00956406964176295,-2.59120429426369,0.0192762433450504,-2.59120429426369,1,0
"160",0.00665555903942088,-2.71360441315727,0.0140313708656776,-2.71360441315727,1,0
"161",0,0,0,0,0,0
