"","Gam_P_Vector_All","Gam_Z_Vector_All","Gam_P_FDR_Vector_All","Gam_Z_FDR_Sig_Vector_All","Gam_P_Bonf_Vector_All","Gam_Z_Bonf_Sig_Vector_All"
"1",0,0,0,0,0,0
"2",0,0,0,0,0,0
"3",4.16251576640433e-05,4.09826888346959,0.000199551071548065,4.09826888346959,0.758493622954197,0
"4",0,0,0,0,0,0
"5",0.050537907330033,1.95538277787786,0.0944611495915336,0,1,0
"6",0,0,0,0,0,0
"7",0,0,0,0,0,0
"8",0.612363710934076,0.506702307964372,0.710279537914751,0,1,0
"9",0.252557980872517,1.14415832990171,0.357947648539397,0,1,0
"10",0,0,0,0,0,0
"11",0.694318281949285,-0.39300162396124,0.778528566468517,0,1,0
"12",0,0,0,0,0,0
"13",0,0,0,0,0,0
"14",0,0,0,0,0,0
"15",0,0,0,0,0,0
"16",0,0,0,0,0,0
"17",0,0,0,0,0,0
"18",0,0,0,0,0,0
"19",0,0,0,0,0,0
"20",0,0,0,0,0,0
"21",0,0,0,0,0,0
"22",0,0,0,0,0,0
"23",0,0,0,0,0,0
"24",0,0,0,0,0,0
"25",0,0,0,0,0,0
"26",0,0,0,0,0,0
"27",0,0,0,0,0,0
"28",0,0,0,0,0,0
"29",0,0,0,0,0,0
"30",0,0,0,0,0,0
"31",0,0,0,0,0,0
"32",0,0,0,0,0,0
"33",0,0,0,0,0,0
"34",0,0,0,0,0,0
"35",0,0,0,0,0,0
"36",0,0,0,0,0,0
"37",0,0,0,0,0,0
"38",0,0,0,0,0,0
"39",0,0,0,0,0,0
"40",0,0,0,0,0,0
"41",0,0,0,0,0,0
"42",0,0,0,0,0,0
"43",0,0,0,0,0,0
"44",0,0,0,0,0,0
"45",0,0,0,0,0,0
"46",0,0,0,0,0,0
"47",0,0,0,0,0,0
"48",0,0,0,0,0,0
"49",0,0,0,0,0,0
"50",0,0,0,0,0,0
"51",0,0,0,0,0,0
"52",0,0,0,0,0,0
"53",0,0,0,0,0,0
"54",0,0,0,0,0,0
"55",0,0,0,0,0,0
"56",0,0,0,0,0,0
"57",0,0,0,0,0,0
"58",0,0,0,0,0,0
"59",0,0,0,0,0,0
"60",0,0,0,0,0,0
"61",0,0,0,0,0,0
"62",0,0,0,0,0,0
"63",0,0,0,0,0,0
"64",0,0,0,0,0,0
"65",0,0,0,0,0,0
"66",0,0,0,0,0,0
"67",0,0,0,0,0,0
"68",0,0,0,0,0,0
"69",0,0,0,0,0,0
"70",0.00170863035201918,-3.1366962639542,0.00526813236455049,-3.1366962639542,1,0
"71",0.00345172266581266,-2.92435372235865,0.00968246465770293,-2.92435372235865,1,0
"72",0.00298648917932019,-2.96912516965321,0.00855388334259235,-2.96912516965321,1,0
"73",0.000852346990508018,-3.33521099831067,0.00286505568364455,-3.33521099831067,1,0
"74",0.268332929798846,-1.10690979677098,0.375369464670242,0,1,0
"75",0.702813370206222,-0.381525477156381,0.784625979162956,0,1,0
"76",0.830948525134323,0.213485208466864,0.884105358940926,0,1,0
"77",0,0,0,0,0,0
"78",0,0,0,0,0,0
"79",0,0,0,0,0,0
"80",0,0,0,0,0,0
"81",0,0,0,0,0,0
"82",0.767245505287382,-0.295979803404583,0.836848432061795,0,1,0
"83",0.460642383835645,-0.737789485254703,0.574604704152049,0,1,0
"84",0.239850643754754,-1.1753601890213,0.343312890238813,0,1,0
"85",0.299928709674671,-1.03658628096029,0.410492785616033,0,1,0
"86",0.793857273155575,-0.261305049136067,0.856666305308592,0,1,0
"87",0.434490692745811,0.78153024926377,0.548971063523319,0,1,0
"88",0.347905684734272,0.938659322174904,0.461083793875729,0,1,0
"89",0.473074814263187,0.717485120541498,0.586738991662387,0,1,0
"90",0.612160560761422,0.506991816216027,0.710089104220169,0,1,0
"91",0.931326323786351,-0.0861762329273553,0.955186156324104,0,1,0
"92",0.738965675109208,0.333223374518571,0.813867182341493,0,1,0
"93",0.835636498782036,0.207478094167395,0.887869870600948,0,1,0
"94",0.491637983121734,0.687705932892718,0.603477758736561,0,1,0
"95",0,0,0,0,0,0
"96",0,0,0,0,0,0
"97",0,0,0,0,0,0
"98",0,0,0,0,0,0
"99",0,0,0,0,0,0
"100",0,0,0,0,0,0
"101",0,0,0,0,0,0
"102",0,0,0,0,0,0
"103",0,0,0,0,0,0
"104",0,0,0,0,0,0
"105",0,0,0,0,0,0
"106",0,0,0,0,0,0
"107",0,0,0,0,0,0
"108",0,0,0,0,0,0
"109",0,0,0,0,0,0
"110",0,0,0,0,0,0
"111",0,0,0,0,0,0
"112",0,0,0,0,0,0
"113",0,0,0,0,0,0
"114",0,0,0,0,0,0
"115",0,0,0,0,0,0
"116",0,0,0,0,0,0
"117",0,0,0,0,0,0
"118",0,0,0,0,0,0
"119",0,0,0,0,0,0
"120",0,0,0,0,0,0
"121",0,0,0,0,0,0
"122",0,0,0,0,0,0
"123",0,0,0,0,0,0
