"","Gam_P_Vector_All","Gam_Z_Vector_All","Gam_P_FDR_Vector_All","Gam_Z_FDR_Sig_Vector_All","Gam_P_Bonf_Vector_All","Gam_Z_Bonf_Sig_Vector_All"
"1",0,0,0,0,0,0
"2",0,0,0,0,0,0
"3",0.446921088910437,0.760558041994563,0.54624378529282,0,1,0
"4",0.129636576632204,-1.51553656939751,0.203951965131961,0,1,0
"5",0,0,0,0,0,0
"6",0.00642657615412663,2.72518348523807,0.0166978366249128,2.72518348523807,1,0
"7",0.872877309254746,-0.160004779469736,0.906538024757427,0,1,0
"8",0,0,0,0,0,0
"9",0.0172408836959993,2.38153005736682,0.0383222707923623,2.38153005736682,1,0
"10",0,0,0,0,0,0
"11",0.241299509912129,1.17174485157908,0.336021630618415,0,1,0
"12",0,0,0,0,0,0
"13",0,0,0,0,0,0
"14",0,0,0,0,0,0
"15",0,0,0,0,0,0
"16",0,0,0,0,0,0
"17",4.27288678771249e-08,5.47918530660684,4.87356529767052e-07,5.47918530660684,0.00112774300988096,5.47918530660684
"18",8.2866989251387e-05,3.93595358480517,0.000394500080683957,3.93595358480517,1,0
"19",0.000312313742662487,3.60486623861079,0.00124571506877603,3.60486623861079,1,0
"20",0.00041553495890889,3.53001573115334,0.00159198928298481,3.53001573115334,1,0
"21",0,0,0,0,0,0
"22",0,0,0,0,0,0
"23",0,0,0,0,0,0
"24",0,0,0,0,0,0
"25",0,0,0,0,0,0
"26",0,0,0,0,0,0
"27",0,0,0,0,0,0
"28",0,0,0,0,0,0
"29",0,0,0,0,0,0
"30",0,0,0,0,0,0
"31",0,0,0,0,0,0
"32",0,0,0,0,0,0
"33",0,0,0,0,0,0
"34",0,0,0,0,0,0
"35",0,0,0,0,0,0
"36",0,0,0,0,0,0
"37",0,0,0,0,0,0
"38",0,0,0,0,0,0
"39",0,0,0,0,0,0
"40",0,0,0,0,0,0
"41",0,0,0,0,0,0
"42",0,0,0,0,0,0
"43",0,0,0,0,0,0
"44",0,0,0,0,0,0
"45",0,0,0,0,0,0
"46",0,0,0,0,0,0
"47",0,0,0,0,0,0
"48",0,0,0,0,0,0
"49",0,0,0,0,0,0
"50",0,0,0,0,0,0
"51",0,0,0,0,0,0
"52",0,0,0,0,0,0
"53",0,0,0,0,0,0
"54",0,0,0,0,0,0
"55",0,0,0,0,0,0
"56",0,0,0,0,0,0
"57",0,0,0,0,0,0
"58",0,0,0,0,0,0
"59",0,0,0,0,0,0
"60",0,0,0,0,0,0
"61",0,0,0,0,0,0
"62",0,0,0,0,0,0
"63",0,0,0,0,0,0
"64",0,0,0,0,0,0
"65",0,0,0,0,0,0
"66",0,0,0,0,0,0
"67",0,0,0,0,0,0
"68",0,0,0,0,0,0
"69",0,0,0,0,0,0
"70",0,0,0,0,0,0
"71",0,0,0,0,0,0
"72",0,0,0,0,0,0
"73",0,0,0,0,0,0
"74",0,0,0,0,0,0
"75",0,0,0,0,0,0
"76",0,0,0,0,0,0
"77",0,0,0,0,0,0
"78",0,0,0,0,0,0
"79",0,0,0,0,0,0
"80",0,0,0,0,0,0
"81",0,0,0,0,0,0
"82",0.059400558224783,-1.88521691358396,0.107705340287627,0,1,0
"83",0.0057572728698528,-2.761294538846,0.0152604986910049,-2.761294538846,1,0
"84",0,0,0,0,0,0
"85",0,0,0,0,0,0
"86",0,0,0,0,0,0
"87",0,0,0,0,0,0
"88",0,0,0,0,0,0
"89",0,0,0,0,0,0
"90",0,0,0,0,0,0
"91",0,0,0,0,0,0
"92",0,0,0,0,0,0
"93",0,0,0,0,0,0
"94",0,0,0,0,0,0
"95",0,0,0,0,0,0
"96",0,0,0,0,0,0
"97",0,0,0,0,0,0
"98",0,0,0,0,0,0
"99",1.22447864337792e-12,7.1025813996044,3.64347968823826e-11,7.1025813996044,3.23176648346734e-08,7.1025813996044
"100",3.30469008337633e-08,5.52447674159441,3.87131315448519e-07,5.52447674159441,0.000872206853705514,5.52447674159441
"101",2.23240396102435e-05,4.24028074778611,0.000125068643055223,4.24028074778611,0.589198377433156,0
"102",0.00118131961445565,3.24335249376178,0.00392825608974777,3.24335249376178,1,0
"103",0,0,0,0,0,0
"104",0,0,0,0,0,0
"105",0,0,0,0,0,0
"106",0,0,0,0,0,0
"107",2.34535389663478e-05,4.22918886890129,0.000130565124222488,4.22918886890129,0.619009253938816,0
"108",5.69055931513483e-06,4.53757204292237,3.74225037321115e-05,4.53757204292237,0.150190932004354,0
"109",7.58456409119459e-05,3.95716154340774,0.000365290876019888,3.95716154340774,1,0
"110",0,0,0,0,0,0
"111",0,0,0,0,0,0
"112",0,0,0,0,0,0
"113",0,0,0,0,0,0
"114",0.00549798683847224,2.77630935391901,0.0146915426372176,2.77630935391901,1,0
"115",0.00634654375269941,2.72931817211107,0.0165338673125153,2.72931817211107,1,0
"116",0.00417673850644091,2.86449568088489,0.0116136387906126,2.86449568088489,1,0
"117",0,0,0,0,0,0
