,discovery_accuracies,replication_accuracies
0,0.5033950617283951,0.4766949931942758
1,0.5009259259259259,0.4904577015828885
2,0.5006172839506173,0.4713789751260371
3,0.5074074074074074,0.514857142409876
4,0.4885802469135802,0.507352647657602
5,0.4935185185185185,0.4882668767479048
6,0.5070987654320988,0.5014116300785613
7,0.5021604938271605,0.4904590713376085
8,0.4854938271604938,0.5189196392300883
9,0.5080246913580246,0.5089171032270638
10,0.4978395061728395,0.4985930662233358
11,0.4984567901234568,0.5092321468126589
12,0.5080246913580246,0.4810756644680146
13,0.4962962962962963,0.4857704009311201
14,0.4925925925925926,0.4876436383503144
15,0.4898148148148148,0.4770116022138368
16,0.5126543209876544,0.5035977586116479
17,0.5067901234567901,0.4964043938600549
18,0.5006172839506173,0.5032821279883156
19,0.508641975308642,0.4791987091431519
20,0.5049382716049383,0.5154854684678549
21,0.5058641975308642,0.4907733322062209
22,0.5175925925925926,0.5051592789924241
23,0.5043209876543211,0.4939018519866531
24,0.5043209876543211,0.4917082876422295
25,0.507716049382716,0.4942141560628083
26,0.5191358024691358,0.4985920878271072
27,0.5160493827160494,0.502969432553669
28,0.4891975308641975,0.5154835116753979
29,0.5030864197530864,0.4948387642151188
30,0.4907407407407407,0.4985924791855986
31,0.5212962962962964,0.4788866007462424
32,0.5160493827160494,0.4835787933791536
33,0.5006172839506173,0.5182995317004292
34,0.5108024691358024,0.5114157315155514
35,0.5179012345679013,0.4989049789409996
36,0.507716049382716,0.5042241278771697
37,0.4932098765432098,0.5126641651031896
38,0.4907407407407407,0.4901471586199447
39,0.509567901234568,0.5045346708401136
40,0.4941358024691358,0.4967149368229987
41,0.507716049382716,0.4970254797859426
42,0.4910493827160494,0.5057846698617174
43,0.5117283950617284,0.5073510822236363
44,0.508641975308642,0.5054776491251963
45,0.4941358024691358,0.5064106477687478
46,0.5225308641975308,0.5014069337766642
47,0.5030864197530864,0.5042231494809413
48,0.5024691358024691,0.49171063579317803
49,0.4972222222222222,0.5189210089848082
50,0.4885802469135802,0.5114178839872543
51,0.491358024691358,0.4935870040803037
52,0.4888888888888889,0.5095395589076714
53,0.5061728395061729,0.4901473542991904
54,0.5037037037037038,0.5126672959711209
55,0.5089506172839506,0.5017204119282936
56,0.4941358024691358,0.5145458167299493
57,0.4944444444444445,0.5001569347550604
58,0.4969135802469136,0.4795121872947814
59,0.5089506172839506,0.4935889608727607
60,0.4978395061728395,0.4876436383503144
61,0.5030864197530864,0.4904590713376085
62,0.512962962962963,0.5042208013299927
63,0.487037037037037,0.493587395438795
64,0.5101851851851852,0.4967176763324387
65,0.5200617283950617,0.4795094477853414
66,0.5043209876543211,0.4848323146271801
67,0.4879629629629629,0.5167339020554931
68,0.4981481481481481,0.5039153460274374
69,0.5049382716049382,0.4979702191842367
70,0.5018518518518518,0.5045366276325707
71,0.4944444444444445,0.4954623939712007
72,0.500925925925926,0.5039075188576089
73,0.4978395061728395,0.4857688354971544
74,0.5027777777777778,0.5067247129581145
75,0.5175925925925926,0.5048506928219374
76,0.508641975308642,0.4810789910151918
77,0.5138888888888888,0.479199296180889
78,0.5033950617283951,0.5120411223848447
79,0.5021604938271604,0.5157967941477817
80,0.5058641975308642,0.5004698258689528
81,0.5120370370370371,0.4995305654895386
82,0.5024691358024691,0.5195446387408902
83,0.4817901234567901,0.5089143637176239
84,0.5037037037037038,0.4942155258175284
85,0.4953703703703704,0.5076649517337573
86,0.5123456790123457,0.5120440575735303
87,0.5120370370370371,0.493274308645657
88,0.4987654320987655,0.5054747139365107
89,0.4953703703703704,0.5082838851879421
90,0.5080246913580247,0.4860807482148182
91,0.5061728395061729,0.5079762774136839
92,0.4987654320987654,0.4898350502230352
93,0.5049382716049382,0.4967155238607359
94,0.5043209876543211,0.508601863962223
95,0.5132716049382716,0.503596975894665
96,0.4919753086419753,0.5067239302411316
97,0.487037037037037,0.5029688455159318
98,0.5037037037037038,0.4967149368229987
99,0.5092592592592593,0.5048469749162688
100,0.5092592592592593,0.5201776611007662
101,0.512962962962963,0.5157960114307989
102,0.5058641975308642,0.4970270452199082
103,0.5052469135802469,0.4982821319019005
104,0.5027777777777778,0.5139161209172505
105,0.4879629629629629,0.5073530390160934
106,0.5027777777777778,0.5126688614050865
107,0.5067901234567902,0.5123547962157199
108,0.5043209876543211,0.4867092699520429
109,0.4728395061728395,0.4795133613702557
110,0.4984567901234568,0.5264356790578593
111,0.4990740740740741,0.4829487062079632
